column_name,column_name_en
afiliacion_cancelacion,affiliation_cancellation
afiliacion_comite,affiliation_committee
afiliacion_estado,affiliation_status
afiliacion_inicio,affiliation_begin
afiliacion_representante,affiliation_representative
alias,alias
anio,year
anio_desde,year_from
anio_hasta,year_to
apicounts,apicounts
aportes_electorales,electoral_contributions
auto_valuo,property_valuation
bienes_inmuebles_valor,immovables_value
bienes_muebles_valor,movables_value
candidato_designado,candidate_designated
candidato_id,candidate_id
candidatos_hombres,candidate_men
candidatos_mujeres,candidate_women
caracteristica,characteristics
cargo,position
cargos,positions
cargo_electo,position_elected
cargo_id,position_id
cargo_postulacion,position_postulation
carrera,career
centro_estudio,study_centre
centro_trabajo_org_politica,workplace_political_organization
circunscripcion,district
comentario,comment
concluyo,finished
cumple_fallo,accomplish_verdict
delito,crime
delito_penal,crime_penal
descripcion,description
designado,designated
deuda_sunat,sunat_debt
distrito_electoral,constituency
dni,dni
domicilio_departamento,residence_department
domicilio_direccion,residence_address
domicilio_distrito,residence_district
domicilio_provincia,residence_province
domicilio_ubigeo,residence_ubigeo
educacion_mayor_nivel,education_higher_level
educacion_postgrado,education_postgraduate
educacion_primaria,education_primary
educacion_secundaria,education_secondary
educacion_superior_nouniversitaria,education_higher_nonuniversity
educacion_superior_tecnica,education_higher_technical
educacion_superior_universitaria,education_higher_university
elegido,elected
enlace_foto,link_photo
estado_id,status_id
estado_nombre,status_name
expediente_codigo,file_code
expediente_distrito,file_district
expediente_estado,file_status
expediente_id,file_id
expediente_obliga,file_obliges
expediente_penal,file_penal
expediente_provincia,file_province
expediente_region,file_region
expediente_ubigeo,file_ubigeo
experiencia_privada,experience_private
experiencia_publica,experience_public
facebook,facebook
fallo,verdict
fallo_obliga,verdict_obliges
fallo_penal,verdict_penal
hasta_actualidad,to_the_present
hoja_vida,cv
hoja_vida_id,cv_id
id,id
id_apellido_materno,id_second_surname
id_apellido_paterno,id_first_surname
id_ce,id_ce
id_dni,id_dni
id_nombres,id_name
id_sexo,id_gender
inmuebles_total,immovables_total
jurado_electoral_id,electoral_jury_id
jurado_electoral_nombre,electoral_jury_name
lat,latitude
licencia_conducir,driver_license
lista_solicitud_estado,list_request_status
lista_solicitud_id,list_request_id
lng,longitude
location,location
marca,brand
materia_sentencia,judgment_matter
modalidad,modality
modelo,model
muebles_total,movables_total
nacimiento_departamento,birth_department
nacimiento_distrito,birth_district
nacimiento_fecha,birth_date
nacimiento_pais,birth_country
nacimiento_provincia,birth_province
nacimiento_ubigeo,birth_ubigeo
no_vacancia,no_vacancy
nombre,name
nombre_completo,full_name
ocupacion_profesion_cargo,occupation_profession_position
orden_cedula,form_order
org_politica,political_party
org_politica_alcance,political_party_scope
org_politica_estado,political_party_status
org_politica_fecha_inscripcion,political_party_registration_date
org_politica_id,political_party_id
org_politica_nombre,political_party_name
org_politica_tipo,political_party_type
organo_judicial_obliga,judicial_criminal_body
organo_penal_judicial,judicial_criminal_body
otro_ingreso_privado,other_private_income
otro_ingreso_publico,other_public_income
papeletas_monto,ballots_ammount
papeletas_sat,ballot_sat
placa,license_plate
plan_de_gobierno_url,government_plan_url
posicion,place
postula_anio,postulation_year
postula_departamento,postulation_department
postula_distrito,postulation_district
postula_provincia,postulation_province
postula_ubigeo,postulation_ubigeo
proceso_electoral,electoral_process
proceso_electoral_id,electoral_process_id
procesos,process
procesos_electorales_ganados,electoral_process_won
procesos_electorales_participados,electoral_process_participated
remuneracion_bruta_privado,gross_remuneration_private
remuneracion_bruta_publico,gross_remuneration_public
renta_individual_privado,individual_income_private
renta_individual_publico,individual_income_public
sancion_servir,servir_sanction
sancion_servir_institucion,servir_sanction_institution
sancion_servir_registro,servir_sanction_registry
seats,seats
sentencias_civiles,judgment_civil
sentencias_ec_civil_cnt,judgments_ec_civil_count
sentencias_ec_penal_cnt,judgments_ec_penal_count
sentencias_penales,judgment_penal
si_vacancia,yes_vacancy
sunarp_partida,sunarp_budget
sunarp_tiene,sunarp_has
tipo,type
tipo_bien,good_type
tipo_eleccion_id,election_type_id
tipo_vehiculo,vehicle_type
total,total
total_otro,total_other
total_privado,total_private
total_publico,total_public
total_remuneracion_bruta,total_gross_remuneration
total_renta,total_income
twitter,twitter
ubicacion_departamento,location_department
ubicacion_direccion,location_address
ubicacion_distrito,location_district
ubicacion_jurado_id,electoral_jury_location
ubicacion_pais,location_country
ubicacion_provincia,location_province
ubicacion_ubigeo,location_ubigeo
uit,uit
vacancia,vacancy
valor,value
vigente,active
