cv_id,full_name,political_party
135081,Segundo Toribio Montalvo Cubas,Perú Libre
135001,Kelly Roxana Portalatino Avalos,Perú Libre
137462,Elias Marcial Varas Melendez,Perú Libre
135868,Paul Silvio Gutierrez Ticona,Perú Libre
135988,Maria Elizabeth Taipe Coronado,Perú Libre
135702,Bernardo Jaime Quito Sarmiento,Perú Libre
135591,Maria Antonieta Agüero Gutierrez,Perú Libre
135617,Alex Antonio Paredes Gonzales,Perú Libre
135337,Alex Randu Flores Ramirez,Perú Libre
135579,German Adolfo Tacuri Valdivia,Perú Libre
135607,Margot Palacios Huaman,Perú Libre
136330,Segundo Teodomiro Quiroz Barboza,Perú Libre
136415,Américo Gonza Castillo,Perú Libre
136450,Hamlet Echeverria Rodriguez,Perú Libre
135159,Guido Bellido Ugarte,Perú Libre
135227,Jhakeline Katy Ugarte Mamani,Perú Libre
136746,Alfredo Pariona Sinche,Perú Libre
135529,Elizabeth Sara Medina Hermosilla,Perú Libre
136033,Abel Augusto Reyes Cam,Perú Libre
135476,Jorge Alfonso Marticorena Mendoza,Perú Libre
135355,Waldemar Jose Cerron Rojas,Perú Libre
135306,Silvana Emperatriz Robles Araujo,Perú Libre
135309,Luis Roberto Kamiche Morante,Perú Libre
135446,Jose Maria Balcazar Zelada,Perú Libre
136461,Guillermo Bermejo Rojas,Perú Libre
135883,Nivardo Edgar Tello Montes,Perú Libre
135834,Janet Milagros Rivas Chacara,Perú Libre
135774,Jorge Samuel Coayla Juarez,Perú Libre
135811,Victor Raul Cutipa Ccama,Perú Libre
135998,Pasion Neomias Davila Atanacio,Perú Libre
137182,Oscar Zea Choquechambi,Perú Libre
137090,Flavio Cruz Mamani,Perú Libre
137647,Wilson Rusbel Quispe Mamani,Perú Libre
136906,Lucinda Vasquez Vela,Perú Libre
135348,Betssy Betzabet Chavez Chino,Perú Libre
135439,Fernando Mario Herrera Mamani,Perú Libre
135682,Francis Jhasmina Paredes Castro,Perú Libre
136527,Jhaec Darwin Espinoza Vargas,Acción Popular
136940,Pedro Edwin Martinez Talavera,Acción Popular
136905,Silvia Maria Monteza Facho,Acción Popular
134663,Luis Angel Aragon Carreño,Acción Popular
135018,Wilson Soto Palacios,Acción Popular
137131,Raul Felipe Doroteo Carbajo,Acción Popular
137009,Ilich Fredy Lopez Ureña,Acción Popular
135257,Carlos Enrique Alva Rojas,Acción Popular
135921,Hilda Marleny Portero Lopez,Acción Popular
134101,Jose Alberto Arriola Tueros,Acción Popular
133844,Maria Del Carmen Alva Prieto,Acción Popular
137313,Juan Carlos Mori Celis,Acción Popular
137115,Carlos Javier Zeballos Madariaga,Acción Popular
137600,Jorge Luis Flores Ancachi,Acción Popular
137432,Karol Ivett Paredes Fonseca,Acción Popular
135192,Elvis Hernan Vergara Mendoza,Acción Popular
135011,Esdras Ricardo Medina Minaya,Renovación Popular
134063,Noelia Rossvith Herrera Medina,Renovación Popular
135440,Diego Alonso Fernando Bazan Calderon,Renovación Popular
136323,Maria Jessica Cordova Lobaton,Renovación Popular
133825,Jorge Carlos Montoya Manrique,Renovación Popular
133968,Maria De Los Milagros Jackeline Jauregui Martinez De Aguayo,Renovación Popular
133840,Norma Martina Yarrow Lumbreras,Renovación Popular
133822,Jose Ernesto Cueto Aservi,Renovación Popular
133843,Alejandro Muñante Barrios,Renovación Popular
134550,Hector Valer Pinto,Renovación Popular
134794,Javier Rommel Padilla Romero,Renovación Popular
136983,Miguel Angel Ciccia Vasquez,Renovación Popular
135438,Jorge Arturo Zeballos Aponte,Renovación Popular
134804,Ruth Luque Ibarra,Juntos por el Perú
135160,Edgard Cornelio Reymundo Mercado,Juntos por el Perú
135183,Sigrid Tesoro Bazan Narro,Juntos por el Perú
136575,Isabel Cortez Aguirre,Juntos por el Perú
136453,Roberto Helbert Sánchez Palomino,Juntos por el Perú
134211,José Enrique Jeri Ore,Somos Perú
136950,Yorel Kira Alcarraz Aguero,Somos Perú
134316,Alfredo Azurin Loayza,Somos Perú
134289,Hitler Saavedra Casternoque,Somos Perú
134505,Wilmar Alberto Elera Garcia,Somos Perú
133894,Mery Eliana Infantes Castañeda,Fuerza Popular
133781,Nilza Merly Chacon Trujillo,Fuerza Popular
134268,Tania Estefany Ramirez Garcia,Fuerza Popular
133775,Auristela Ana Obando Morgan,Fuerza Popular
133819,Raul Huaman Coronado,Fuerza Popular
133908,David Julio Jimenez Heredia,Fuerza Popular
133755,Victor Seferino Flores Ruiz,Fuerza Popular
133769,Alejandro Aurelio Aguinaga Recuenco,Fuerza Popular
134035,Hernando Guerra Garcia Campos,Fuerza Popular
133837,Carmen Patricia Juarez Gallegos,Fuerza Popular
134058,Carlos Ernesto Bustamante Donayre,Fuerza Popular
133809,Martha Lupe Moyano Delgado,Fuerza Popular
133762,Rosangella Andrea Barbaran Reyes,Fuerza Popular
133848,Leslie Vivian Olivos Martinez,Fuerza Popular
133891,Luis Gustavo Cordero Jon Tay,Fuerza Popular
133855,Jorge Alberto Morante Figari,Fuerza Popular
133748,Eduardo Enrique Castillo Rivas,Fuerza Popular
133756,Cruz Maria Zeta Chunga,Fuerza Popular
133834,Cesar Manuel Revilla Villanueva,Fuerza Popular
133803,Luis Arturo Alegria Garcia,Fuerza Popular
133945,Hector Jose Ventura Angel,Fuerza Popular
134818,Maria Del Pilar Cordero Jon Tay,Fuerza Popular
134099,Jeny Luz Lopez Morales,Fuerza Popular
134384,Juan Carlos Martin Lizarzaburu Lizarzaburu,Fuerza Popular
