hoja_vida_id,DESIGNADO,VALOR BIENES INMUEBLES (PROPIEDADES),VALOR BIENES MUEBLES (VEHÍCULOS Y OTROS),DEUDA CON SUNAT,APORTES REALIZADOS EN CAMPAÑA ELECTORAL,PROCESOS ELECTORALES EN LOS QUE HA PARTICIPADO,PROCESOS ELECTORALES QUE HA GANADO,HISTORIAL DE PAPELETAS EN EL SAT,SUMA TOTAL DEL IMPORTE DEL HISTORIAL DE PAPELETAS,ESTADO DE LICENCIA SEGÚN EL MINISTERIO DE TRANSPORTES,SANCIÓN EN REGISTROS DE SERVIR,INSTITUCIÓN DONDE RECIBIÓ LA SANCIÓN SERVIR
134201,No,No consigna,15000,No registra,No registra,2,0,0,0,No registra,No registra,No registra
136186,No,No consigna,74500,No registra,No registra,2,0,0,0,Vigente,No registra,No registra
137445,No,"150,000.00",14700,No registra,No registra,1,0,0,0,No registra,No registra,No registra
135330,No,"180,000.00",No consigna,No registra,No registra,0,0,0,0,No registra,No registra,No registra
135532,No,No consigna,No consigna,No registra,No registra,0,0,0,0,No registra,No registra,No registra
135866,No,No consigna,No consigna,No registra,"180,479.66",5,1,4,934,Vigente,No registra,No registra
137714,No,No consigna,No consigna,No registra,No registra,0,0,0,0,No registra,No registra,No registra
134130,No,"7,151.16",No consigna,No registra,No registra,1,0,0,0,No registra,No registra,No registra
136797,No,"210,000.00",52500,No registra,No registra,0,0,4,1158,Vigente,No registra,No registra
134017,No,"190,000.00",38000,No registra,No registra,2,0,0,0,Vigente,No registra,No registra
136887,No,No consigna,83219,No registra,No registra,0,0,0,0,Vigente,No registra,No registra
136180,No,No consigna,No consigna,No registra,No registra,0,0,0,0,No registra,No registra,No registra
137479,Sí,No consigna,No consigna,No registra,No registra,0,0,0,0,No registra,No registra,No registra
137881,No,"72,000.80",No consigna,No registra,No registra,0,0,0,0,No registra,No registra,No registra
136911,No,"1,575,000.00",No consigna,No registra,No registra,0,0,0,0,No registra,No registra,No registra
134539,No,No consigna,No consigna,No registra,No registra,0,0,0,0,No registra,No registra,No registra
133867,No,No consigna,No consigna,No registra,No registra,0,0,0,0,No registra,No registra,No registra
136496,Sí,"530,000.00",No consigna,8616,"27,700.00",0,0,1,155,No registra,No registra,No registra
134458,No,No consigna,111000,No registra,No registra,1,0,0,0,Vigente,No registra,No registra
137456,Sí,No consigna,No consigna,No registra,No registra,0,0,0,0,No registra,No registra,No registra
136119,No,"994,000.00",35000,No registra,No registra,1,0,0,0,Vigente,No registra,No registra
134345,No,No consigna,No consigna,No registra,No registra,2,0,0,0,No registra,No registra,No registra
134534,No,No consigna,No consigna,No registra,No registra,0,0,13,2636.5,Vencida,No registra,No registra
136109,No,"1,044,000.00",126000,No registra,No registra,0,0,13,3516,Vigente,No registra,No registra
134240,No,No consigna,No consigna,No registra,No registra,0,0,0,0,No registra,No registra,No registra
137274,No,"1,978,075.00",48611,No registra,No registra,0,0,0,0,No registra,No registra,No registra
136759,No,"2,112,000.00",1393600,No registra,No registra,0,0,7,1189,Vigente,No registra,No registra
135411,No,"300,000.00",No consigna,No registra,No registra,2,0,7,1724,Vigente,No registra,No registra
135969,No,No consigna,No consigna,No registra,No registra,4,1,0,0,Vigente,No registra,No registra
134066,No,No consigna,No consigna,No registra,No registra,2,0,0,0,No registra,No registra,No registra
135927,No,"37,000.00",No consigna,No registra,No registra,1,0,0,0,No registra,No registra,No registra
137712,No,No consigna,No consigna,No registra,No registra,0,0,0,0,No registra,No registra,No registra
134087,No,"74,704.47",No consigna,No registra,No registra,1,0,0,0,No registra,No registra,No registra
136854,No,No consigna,88000,1172,500,2,0,4,778,Vigente,Condenas penales por delitos contra la administración pública,Servir
136885,No,No consigna,No consigna,No registra,604,3,2,0,0,No registra,No registra,No registra
133979,No,"529,599.32",107049,No registra,No registra,0,0,3,920,Vigente,No registra,No registra
136004,No,No consigna,No consigna,No registra,No registra,0,0,0,0,No registra,No registra,No registra
137018,Sí,No consigna,No consigna,No registra,No registra,0,0,0,0,No registra,No registra,No registra
136137,No,No consigna,No consigna,No registra,No registra,0,0,0,0,No registra,No registra,No registra
136492,No,No consigna,1000,No registra,No registra,0,0,1,170,Vigente,No registra,No registra
134437,No,"47,082.63",No consigna,No registra,No registra,0,0,0,0,No registra,No registra,No registra
136615,No,"23,482.71",No consigna,45929,No registra,0,0,1,308,Sin licencia,No registra,No registra
136337,Sí,No consigna,6500,No registra,No registra,1,0,50,11667.5,Vigente,No registra,No registra
134095,No,No consigna,No consigna,No registra,200,3,0,0,0,No registra,No registra,No registra
137710,No,No consigna,14000,No registra,No registra,0,0,11,3121.5,Vigente,No registra,No registra
135362,No,"85,186.00",300,No registra,"1,670.00",1,0,0,0,Vencida,No registra,No registra
135350,No,No consigna,No consigna,No registra,No registra,0,0,0,0,No registra,No registra,No registra
136478,No,No consigna,69000,No registra,No registra,1,0,0,0,No registra,No registra,No registra
137984,No,No consigna,No consigna,No registra,No registra,1,0,4,934,Vigente,No registra,No registra
133879,No,"242,047.22",58557,No registra,No registra,2,0,0,0,Vigente,No registra,No registra
135112,No,No consigna,No consigna,No registra,No registra,0,0,3,1336,Vigente,No registra,No registra
137035,No,"15,000.00",No consigna,No registra,No registra,1,0,0,0,No registra,No registra,No registra
136487,No,No consigna,No consigna,No registra,No registra,0,0,0,0,No registra,No registra,No registra
133990,No,"653,766.82",82000,No registra,No registra,2,0,0,0,Vigente,No registra,No registra
135677,No,"121,937.76",No consigna,No registra,No registra,0,0,0,0,No registra,No registra,No registra
136823,No,"30,747.00",85357,No registra,"15,000.00",5,0,0,0,No registra,No registra,No registra
134422,No,No consigna,No consigna,No registra,No registra,0,0,0,0,No registra,No registra,No registra
134135,No,No consigna,No consigna,No registra,No registra,1,0,1,344,Vigente,No registra,No registra
136787,No,No consigna,No consigna,No registra,No registra,0,0,0,0,No registra,No registra,No registra
136031,No,No consigna,15000,No registra,No registra,0,0,1,68,Vigente,No registra,No registra
134362,No,No consigna,No consigna,No registra,No registra,1,0,0,0,No registra,No registra,No registra
137424,Sí,"245,000.00",19826,No registra,No registra,0,0,0,0,No registra,No registra,No registra
136103,No,No consigna,No consigna,No registra,No registra,0,0,0,0,No registra,No registra,No registra
137276,Sí,"192,543.84",No consigna,No registra,1,0,0,16,2911,Vigente,No registra,No registra
