hoja_vida_id,public,private
133742,0,1
133743,1,1
133746,1,0
133747,1,1
133748,1,0
133749,1,1
133750,0,1
133751,1,1
133752,1,1
133753,1,1
133754,1,1
133755,0,1
133756,0,1
133757,0,1
133758,0,1
133760,1,1
133761,0,1
133762,1,1
133763,1,1
133764,1,1
133765,0,1
133768,0,1
133769,1,1
133770,0,1
133771,0,1
133772,1,1
133773,1,0
133774,1,1
133775,1,1
133776,1,0
133778,1,1
133779,0,1
133781,0,1
133782,1,0
133783,0,1
133784,1,1
133785,0,1
133788,0,1
133789,1,1
133790,1,1
133791,1,0
133792,1,1
133794,1,1
133795,1,0
133796,0,1
133797,0,1
133799,1,1
133800,1,1
133801,1,0
133802,1,1
133803,1,0
133805,1,0
133806,1,1
133808,1,1
133809,1,1
133810,0,1
133811,1,0
133812,1,1
133813,1,0
133815,1,0
133816,0,1
133817,1,1
133818,0,1
133819,1,0
133820,1,1
133821,1,1
133822,1,0
133824,0,1
133825,1,0
133826,1,1
133828,1,1
133829,1,1
133831,1,1
133832,1,1
133833,1,1
133834,1,1
133835,1,1
133836,0,1
133837,1,1
133838,1,1
133839,0,1
133840,1,1
133841,0,1
133842,0,1
133843,1,1
133844,1,1
133845,0,1
133846,0,1
133847,1,0
133848,1,1
133850,1,1
133851,1,1
133852,1,0
133853,1,1
133854,0,1
133855,1,0
133856,0,1
133858,0,1
133861,1,0
133862,0,1
133863,0,1
133864,0,1
133865,0,1
133867,0,1
133869,1,0
133870,0,1
133871,0,1
133872,0,1
133873,1,1
133875,1,1
133876,1,1
133877,0,1
133878,1,1
133879,0,1
133882,0,1
133883,1,1
133884,0,1
133885,0,1
133886,0,1
133888,0,1
133889,0,1
133890,1,0
133891,0,1
133893,0,1
133894,0,1
133895,1,1
133897,1,1
133898,1,1
133900,0,1
133901,1,1
133902,0,1
133903,1,1
133907,1,1
133908,0,1
133909,0,1
133911,1,1
133912,1,1
133913,1,1
133914,1,0
133915,0,1
133916,1,0
133917,1,0
133920,0,1
133921,1,1
133923,1,0
133924,1,0
133926,1,1
133927,0,1
133931,0,1
133932,0,1
133933,1,0
133936,1,1
133937,0,1
133940,0,1
133941,0,1
133942,1,1
133943,0,1
133945,1,1
133946,0,1
133947,1,0
133949,1,1
133950,1,1
133951,1,0
133953,1,1
133954,0,1
133955,1,0
133956,0,1
133957,1,1
133958,1,1
133959,0,1
133960,1,1
133961,1,1
133963,0,1
133964,1,0
133965,0,1
133966,1,0
133967,1,1
133968,0,1
133969,1,0
133970,1,0
133971,0,1
133972,1,0
133973,1,1
133974,0,1
133975,1,0
133976,1,0
133977,1,1
133979,1,0
133980,0,1
133981,1,1
133982,1,0
133983,0,1
133984,0,1
133985,1,1
133986,1,0
133988,1,1
133989,1,1
133991,0,1
133992,1,0
133993,1,0
133994,1,1
133995,1,1
133996,0,1
133997,1,1
133999,0,1
134000,0,1
134001,1,1
134002,0,1
134003,1,1
134004,0,1
134005,1,1
134006,0,1
134007,0,1
134009,0,1
134010,1,0
134011,1,1
134013,1,1
134014,0,1
134015,0,1
134017,1,1
134018,0,1
134019,1,0
134021,0,1
134022,1,1
134024,0,1
134025,1,0
134027,1,0
134028,1,0
134029,0,1
134030,0,1
134031,0,1
134032,0,1
134033,0,1
134034,0,1
134035,0,1
134036,0,1
134038,1,0
134039,1,1
134040,0,1
134041,1,1
134042,0,1
134043,1,1
134046,0,1
134047,0,1
134048,0,1
134049,0,1
134050,1,1
134054,1,0
134055,0,1
134056,0,1
134057,1,1
134058,1,1
134059,0,1
134060,0,1
134064,1,1
134065,1,1
134066,1,0
134067,0,1
134068,1,0
134069,0,1
134071,0,1
134072,0,1
134074,0,1
134075,1,0
134076,0,1
134077,1,0
134078,0,1
134079,0,1
134080,0,1
134081,1,1
134082,0,1
134083,1,0
134084,1,1
134085,0,1
134087,0,1
134089,1,1
134090,0,1
134091,0,1
134093,0,1
134095,1,1
134096,0,1
134097,1,1
134098,1,1
134100,1,1
134101,1,0
134102,1,1
134103,1,1
134104,0,1
134105,0,1
134106,0,1
134107,1,1
134109,1,1
134111,1,1
134112,1,0
134118,0,1
134119,0,1
134120,0,1
134121,0,1
134122,1,1
134123,0,1
134124,1,0
134125,1,0
134126,0,1
134127,1,1
134128,0,1
134129,0,1
134130,0,1
134131,1,1
134132,1,1
134133,0,1
134134,0,1
134135,0,1
134137,0,1
134138,1,0
134139,1,0
134140,1,1
134143,1,0
134144,1,1
134148,1,1
134149,0,1
134152,0,1
134153,0,1
134154,0,1
134155,0,1
134156,0,1
134157,0,1
134158,0,1
134161,1,1
134162,0,1
134163,1,1
134164,1,1
134165,0,1
134166,1,1
134167,1,1
134168,0,1
134169,1,1
134170,0,1
134171,0,1
134172,0,1
134173,0,1
134177,1,1
134180,1,1
134181,1,1
134182,0,1
134183,0,1
134184,0,1
134185,1,0
134186,1,1
134187,1,1
134188,0,1
134189,0,1
134190,0,1
134191,1,1
134193,1,0
134194,0,1
134195,0,1
134196,1,0
134197,0,1
134198,0,1
134199,1,1
134200,0,1
134201,1,0
134203,0,1
134204,0,1
134205,1,1
134208,0,1
134211,1,1
134212,1,1
134213,1,1
134214,1,1
134216,0,1
134217,1,0
134220,0,1
134221,1,0
134222,1,1
134223,0,1
134224,1,1
134225,0,1
134226,1,1
134228,0,1
134230,1,1
134231,0,1
134232,1,1
134234,0,1
134235,1,0
134237,0,1
134238,1,0
134240,1,1
134241,0,1
134245,0,1
134246,1,1
134247,0,1
134248,0,1
134249,1,1
134252,1,1
134253,1,1
134254,1,1
134256,1,0
134257,0,1
134259,1,0
134260,1,0
134261,0,1
134262,0,1
134263,1,1
134265,0,1
134267,0,1
134268,0,1
134270,1,1
134271,1,1
134272,1,1
134273,1,1
134275,0,1
134276,0,1
134277,0,1
134278,1,1
134280,0,1
134283,1,1
134284,1,1
134285,0,1
134286,1,0
134287,0,1
134289,1,0
134290,1,0
134294,0,1
134299,0,1
134300,0,1
134301,1,0
134302,1,1
134304,0,1
134305,0,1
134309,1,1
134310,0,1
134311,0,1
134312,0,1
134313,0,1
134314,0,1
134315,1,1
134316,1,0
134317,0,1
134318,0,1
134319,0,1
134320,0,1
134321,1,1
134322,1,0
134323,0,1
134324,0,1
134325,1,0
134326,1,0
134328,1,1
134329,1,1
134332,0,1
134333,1,1
134334,0,1
134335,1,0
134336,0,1
134337,1,1
134338,0,1
134340,0,1
134341,0,1
134342,1,1
134343,1,0
134344,0,1
134345,0,1
134347,1,0
134348,0,1
134349,1,1
134351,1,0
134353,1,1
134354,1,1
134355,1,0
134356,1,1
134357,0,1
134358,1,1
134359,1,1
134360,0,1
134361,0,1
134362,0,1
134363,1,0
134364,1,1
134365,1,0
134366,0,1
134367,1,1
134368,0,1
134369,0,1
134371,0,1
134372,1,1
134373,1,1
134374,0,1
134375,1,0
134377,1,1
134379,0,1
134381,1,1
134382,1,1
134383,1,1
134384,0,1
134385,1,1
134387,1,0
134388,1,1
134390,0,1
134392,0,1
134394,1,1
134396,0,1
134397,0,1
134398,0,1
134402,1,0
134405,0,1
134407,0,1
134408,0,1
134410,0,1
134411,1,0
134412,0,1
134414,0,1
134418,0,1
134419,1,0
134421,1,1
134422,0,1
134426,1,1
134427,1,1
134428,0,1
134430,1,1
134431,1,0
134432,0,1
134435,0,1
134437,0,1
134439,0,1
134440,0,1
134445,0,1
134446,1,0
134447,0,1
134448,0,1
134453,1,1
134454,1,0
134458,0,1
134459,1,0
134460,1,1
134462,0,1
134464,1,1
134465,0,1
134466,0,1
134467,1,0
134468,1,0
134469,0,1
134472,0,1
134473,1,0
134474,0,1
134479,0,1
134480,0,1
134483,1,0
134484,1,0
134487,0,1
134488,1,0
134489,1,1
134493,0,1
134495,1,0
134496,1,1
134497,1,1
134499,0,1
134500,1,0
134502,1,0
134503,1,0
134504,1,1
134505,1,1
134506,1,1
134507,1,1
134509,1,0
134511,1,1
134512,0,1
134513,0,1
134514,1,0
134515,0,1
134517,0,1
134519,1,1
134520,0,1
134523,1,1
134524,0,1
134525,1,0
134526,0,1
134527,1,1
134529,0,1
134530,0,1
134532,0,1
134534,0,1
134535,0,1
134537,0,1
134539,0,1
134540,0,1
134541,0,1
134543,1,0
134544,0,1
134545,0,1
134547,0,1
134548,1,1
134550,0,1
134552,0,1
134553,0,1
134554,0,1
134555,0,1
134556,0,1
134557,1,1
134558,0,1
134559,1,0
134561,1,1
134562,0,1
134564,1,0
134565,0,1
134566,1,0
