ubigeo,location,lat,lng,sitios
10000,AMAZONAS,-5.63917,-78.5317,2
20000,ANCASH,-9.07444,-78.5936,5
30000,APURIMAC,-13.6375,-72.8786,2
40000,AREQUIPA,-16.3989,-71.5369,6
50000,AYACUCHO,-13.1603,-74.2258,3
60000,CAJAMARCA,-7.15639,-78.5156,6
240000,CALLAO,-12.0542,-77.1289,4
70000,CUSCO,-13.5167,-71.9789,5
80000,HUANCAVELICA,-12.7869,-74.9731,2
90000,HUANUCO,-9.92944,-76.2397,3
100000,ICA,-14.0639,-75.7292,4
110000,JUNIN,-11.1614,-75.9981,5
120000,LA LIBERTAD,-8.11167,-79.0286,7
130000,LAMBAYEQUE,-6.77361,-79.84,5
140000,LIMA PROVINCIAS,-10.7567,-77.7606,4
140100,LIMA,-12.0453,-77.0311,33
150000,LORETO,-4.50667,-73.5756,4
160000,MADRE DE DIOS,-12.6183,-70.3947,1
170000,MOQUEGUA,-17.6444,-71.3453,2
180000,PASCO,-10.6028,-75.4389,2
140101,PERUANOS RESIDENTES EN EL EXTRANJERO,0,0,2
190000,PIURA,-5.19722,-80.6267,7
200000,PUNO,-15.8406,-70.0281,5
210000,SAN MARTIN,-6.51389,-76.7408,4
220000,TACNA,-18.0136,-70.2506,2
230000,TUMBES,-3.56472,-80.4539,2
250000,UCAYALI,-7.34694,-75.0028,3
0,,,,5
