hoja_vida_id,delito,procesos,tipo,fallo
133773,Abuso de autoridad,1,Penal,Pena Cumplida
133829,Contractual,2,Civil,Fundada
133848,Falsificación de documentos,1,Penal,Pena Cumplida
133857,Negociación incompatible,1,Penal,Pena Cumplida
133918,Familia / Alimentaria,1,Civil,Fundada
133933,Familia / Alimentaria,1,Civil,Fundada
133934,Violencia familiar,2,Civil,Fundada
133969,Contractual,1,Civil,Fundada
134004,Laboral,1,Civil,Fundada
134013,Peculado,1,Penal,Pena Cumplida
134017,Daño Simple,1,Penal,Pena Cumplida
134036,Familia / Alimentaria,3,Civil,Fundada
134039,Familia / Alimentaria,3,Civil,Fundada
134057,Contractual,2,Civil,Fundada
134066,Familia / Alimentaria,1,Civil,Fundada
134066,Omision a la asistencia familiar,1,Penal,Pena Cumplida
134081,Contractual,1,Civil,Fundada
134097,Contra la confianza y la buena fe,1,Penal,Pena Cumplida
134106,Receptación,1,Penal,Multa
134114,Omision a la asistencia familiar,1,Penal,Pena Cumplida
134119,Laboral,1,Civil,Fundada
134132,Familia / Alimentaria,2,Civil,Conciliación
134132,Laboral,1,Civil,Fundada
134142,Peculado,1,Penal,Pena Cumplida
134197,Contractual,1,Civil,Fundada
134221,Contractual,1,Civil,Fundada
134272,Contractual,1,Civil,Fundada
134272,Difamación,1,Penal,Pena Cumplida
134276,Familia / Alimentaria,1,Civil,Fundada
134276,Omision a la asistencia familiar,1,Penal,Pena Cumplida
134282,Usurpación,1,Penal,Pena Cumplida
134290,Falsificación de documentos,1,Penal,Pena Cumplida
134297,Familia / Alimentaria,1,Civil,Fundada
134301,Familia / Alimentaria,1,Civil,Fundada
134304,Familia / Alimentaria,1,Civil,Fundada
134332,Familia / Alimentaria,1,Civil,Conciliación
134336,Contractual,2,Civil,Fundada
134336,Violencia familiar,3,Civil,Fundada
134358,Contractual,1,Civil,Fundada
134362,Contractual,1,Civil,Fundada
134471,No precisa (2),2,Penal,Pena Cumplida
134481,Familia / Alimentaria,1,Civil,Fundada
134491,Laboral,1,Civil,Conciliación
134496,Contractual,2,Civil,Fundada
134501,Malversación de fondos,1,Penal,Pena Cumplida
134505,Contractual,1,Civil,Fundada
134505,Laboral,1,Civil,Fundada
134515,Difamación,2,Penal,Pena Cumplida
134557,Contractual,1,Civil,Fundada
134570,Contractual,1,Civil,Fundada
134570,Querella por difamación,1,Penal,Pena Cumplida
134638,Colusión,1,Penal,Pena Cumplida
134714,Contractual,2,Civil,Fundada
134716,Familia / Alimentaria,2,Civil,Fundada
134724,Difamación,1,Penal,Pena Cumplida
134746,Rebelión,1,Penal,Pena Cumplida
134763,Contractual,1,Civil,Fundada
134763,Violencia familiar,1,Civil,Fundada
134788,Familia / Alimentaria,1,Civil,Fundada
134789,Laboral,1,Civil,Fundada
134801,Familia / Alimentaria,1,Civil,Fundada
134817,Estafa,1,Penal,Pena Cumplida
134817,Familia / Alimentaria,2,Civil,Fundada
134817,Violencia familiar,1,Civil,Fundada
134820,Lesiones,1,Penal,Pena Cumplida
134837,Familia / Alimentaria,1,Civil,Fundada
134877,Familia / Alimentaria,1,Civil,Fundada
134883,Familia / Alimentaria,1,Civil,Fundada
134885,Familia / Alimentaria,2,Civil,Fundada
134886,Contractual,1,Civil,Fundada
134932,Familia / Alimentaria,1,Civil,Fundada
134937,Laboral,1,Civil,Fundada
134937,Laboral,1,Civil,Reserva de fallo
134966,Familia / Alimentaria,1,Civil,Fundada
134990,Contractual,2,Civil,Fundada
134996,Fe pública,1,Penal,Pena Cumplida
135020,Contractual,1,Civil,Fundada
135032,Usurpación,1,Penal,Pena Cumplida
135067,Usurpación,1,Penal,Pena Cumplida
135081,Ejercicio arbitrario de derecho (Justicia por propia mano),1,Penal,Prestación de servicio a la comunidad
135081,Violencia familiar,1,Civil,Fundada
135082,Desobediencia a la autoridad,1,Penal,Pena Cumplida
135093,Violencia familiar,1,Civil,Fundada
135104,Contractual,2,Civil,Fundada
135104,Daño Simple,1,Penal,Pena Cumplida
135104,Familia / Alimentaria,1,Civil,Fundada
135125,Lesiones,1,Penal,Pena Cumplida
135203,Familia / Alimentaria,1,Civil,Fundada
135203,Injuria,1,Penal,Pena Cumplida
135228,Peculado,1,Penal,Pena Cumplida
135255,Contractual,1,Civil,Fundada
135260,Violencia familiar,1,Civil,Fundada
135265,Desobediencia a la autoridad,1,Penal,Pena Cumplida
135293,Entorpecimiento al funcionamiento de servicios públicos,1,Penal,Pena Cumplida
135318,Contractual,1,Civil,Fundada
135341,Laboral,1,Civil,Fundada
135349,Familia / Alimentaria,1,Civil,Fundada
135349,Seducción,1,Penal,Pena Cumplida
135439,Familia / Alimentaria,1,Civil,Fundada
135471,Familia / Alimentaria,1,Civil,Conciliación
135476,Familia / Alimentaria,1,Civil,Fundada
135522,Familia / Alimentaria,2,Civil,Fundada
135522,Omision a la asistencia familiar,1,Penal,Pena Cumplida
135555,Contractual,1,Civil,Fundada
135556,Laboral,1,Civil,Fundada
135577,Familia / Alimentaria,2,Civil,Fundada
135588,Contractual,1,Civil,Fundada
135590,Contractual,5,Civil,Fundada
135590,Familia / Alimentaria,1,Civil,Fundada
135598,Familia / Alimentaria,1,Civil,Fundada
135612,Contractual,1,Civil,Fundada
135616,Rebelión,1,Penal,Pena Cumplida
135665,Familia / Alimentaria,1,Civil,Fundada
135665,Lesiones leves por violencia familiar,1,Penal,Prestación de servicio a la comunidad
135665,Violencia familiar,1,Civil,Fundada
135721,Laboral,1,Civil,Fundada
135721,Peculado,1,Penal,Pena Cumplida
135742,Familia / Alimentaria,1,Civil,Fundada
135762,Querella por difamación,1,Penal,Pena Cumplida
135771,Contractual,1,Civil,Fundada
135788,Omision a la asistencia familiar,1,Penal,Pena Cumplida
135788,Violencia contra la autoridad,1,Penal,Pena Cumplida
135795,Peculado,1,Penal,Pena Cumplida
135823,Contra la paz pública,1,Penal,Pena Cumplida
135839,Contra la fe pública,1,Penal,Pena Cumplida
135857,Familia / Alimentaria,1,Civil,Fundada
135868,Familia / Alimentaria,1,Civil,Fundada
135915,Extorsión,1,Penal,Pena Cumplida
135917,Contra el honor (2),1,Penal,Pena Cumplida
135985,Contra el patrimonio,2,Penal,Pena Cumplida
136019,Incumplimiento de deberes funcionales,1,Penal,Pena Cumplida
136024,Daño en forma agravada,1,Penal,Pena Cumplida
136024,Usurpación,1,Penal,Pena Cumplida
136047,Contractual,1,Civil,Fundada
136073,Contractual,4,Civil,Fundada
136073,Familia / Alimentaria,1,Civil,Conciliación
136073,Laboral,3,Civil,Fundada
136088,Querella por difamación,1,Penal,Pena Cumplida
136110,Estafa,1,Penal,Pena Cumplida
136117,Familia / Alimentaria,1,Civil,Fundada
136122,Familia / Alimentaria,1,Civil,Conciliación
136153,Contractual,1,Civil,Fundada
136181,Lesiones,1,Penal,Pena Cumplida
136189,Daños gravados,1,Penal,Pena Cumplida
136189,Difamación,1,Penal,Pena Cumplida
136220,Difamación,1,Penal,Pena Cumplida
136253,Contra el patrimonio,1,Penal,Pena Cumplida
136296,Familia / Alimentaria,1,Civil,Fundada
136304,Incumplimiento de obligación alimentaria,1,Penal,Pena Cumplida
136311,Laboral,1,Civil,Fundada
136342,Familia / Alimentaria,1,Civil,Fundada
136348,Contractual,1,Civil,Fundada
136361,Familia / Alimentaria,1,Civil,Fundada
136370,Familia / Alimentaria,1,Civil,Fundada
136374,Familia / Alimentaria,2,Civil,Fundada
136374,Omision a la asistencia familiar,1,Penal,En cumplimiento
136374,Violencia familiar,1,Civil,Fundada
136382,Contractual,1,Civil,Fundada
136407,Contra la fe pública,1,Penal,Pena Cumplida
136446,Laboral,1,Civil,Fundada
136472,Estafa,1,Penal,Pena Cumplida
136472,Familia / Alimentaria,1,Civil,Conciliación
136472,Lesiones,1,Penal,Pena Cumplida
136472,Usurpación,1,Penal,Pena Cumplida
136486,Familia / Alimentaria,2,Civil,Fundada
136510,Familia / Alimentaria,1,Civil,Conciliación
136514,Familia / Alimentaria,1,Civil,Fundada
136514,Omision a la asistencia familiar,1,Penal,Pena Cumplida
136531,Contra la voluntad popular,1,Penal,Pena Cumplida
136537,Avocación indebida de procesos en trámite,1,Penal,Pena Cumplida
136550,Familia / Alimentaria,2,Civil,Conciliación
136550,Omision a la asistencia familiar,1,Penal,Pena Cumplida
136612,Familia / Alimentaria,1,Civil,Fundada
136612,Omision a la asistencia familiar,1,Penal,Pena Cumplida
136615,Cohecho activo genérico,1,Penal,Pena Cumplida
136665,Familia / Alimentaria,1,Civil,Fundada
136672,Difamación,1,Penal,Pena Cumplida
136682,Estafa,1,Penal,Pena Cumplida
136704,Familia / Alimentaria,1,Civil,Fundada
136705,Contractual,1,Civil,Fundada
136737,Familia / Alimentaria,2,Civil,Fundada
136762,Contractual,1,Civil,Fundada
136823,Laboral,1,Civil,Fundada
136848,Uso de documento falso,1,Penal,Pena Cumplida
136854,Negociación incompatible,1,Penal,Pena Cumplida
136875,Defraudación tributaria,1,Penal,Pena Cumplida
136875,Estafa,1,Penal,Pena Cumplida
136902,Familia / Alimentaria,1,Civil,Fundada
136917,Familia / Alimentaria,1,Penal,Conciliación
136933,Usurpación,1,Penal,Pena Cumplida
136940,Nombramiento ilegal del cargo,1,Penal,Multa
136940,Peligro Común,1,Penal,Pena Cumplida
136942,Familia / Alimentaria,10,Civil,Conciliación
136942,Lesiones leves por violencia familiar (3),3,Penal,Criterio de oportunidad
136942,Violencia familiar,3,Civil,Criterio de oportunidad
136947,Contra la administración pública,1,Penal,Pena Cumplida
136968,Contractual,1,Civil,Fundada
136978,Usurpación,1,Penal,Pena Cumplida
137012,Contractual,1,Civil,Fundada
137024,Familia / Alimentaria,1,Civil,Fundada
137024,Omision a la asistencia familiar,1,Penal,Suspendida
137047,Familia / Alimentaria,1,Civil,Fundada
137058,Familia / Alimentaria,1,Civil,Fundada
137058,Omision a la asistencia familiar,1,Penal,Pena Cumplida
137074,Familia / Alimentaria,1,Civil,Fundada
137082,Falsedad,1,Penal,En Cumplimiento
137082,Usurpación,1,Penal,Pena Cumplida
137090,Familia / Alimentaria,1,Civil,Conciliación
137115,Contractual,1,Civil,Fundada
137128,Receptación,1,Penal,Pena Cumplida
137141,Familia / Alimentaria,6,Civil,Fundada
137166,Lesiones,1,Penal,Pena Cumplida
137166,Secuestro,1,Penal,Pena Cumplida
137178,Abandono de destino simple,1,Penal,Pena Cumplida
137178,Familia / Alimentaria,1,Civil,Fundada
137185,Familia / Alimentaria,4,Civil,Fundada
137185,Omision a la asistencia familiar,1,Penal,En Cumplimiento
137192,Contractual,1,Civil,Fundada
137243,Familia / Alimentaria,1,Civil,Conciliación
137267,Familia / Alimentaria,3,Civil,Fundada
137272,Familia / Alimentaria,1,Civil,Fundada
137291,Difamación,1,Penal,Pena cumplida
137312,Contra el honor,1,Penal,Pena Cumplida
137312,Falsedad,1,Penal,Pena Cumplida
137331,Laboral,1,Civil,Conciliación
137384,Lesiones leves por violencia familiar,1,Penal,En cumplimiento
137388,Contaminación de aguas,1,Penal,Pena Cumplida
137393,Familia / Alimentaria,1,Civil,Fundada
137430,Hurto agravado,1,Penal,Pena Cumplida
137444,Familia / Alimentaria,1,Civil,Fundada
137466,Omision a la asistencia familiar,1,Penal,Pena Cumplida
137480,Libramiento Indebido (2),2,Penal,Pena Cumplida
137512,Contractual,1,Civil,Fundada
137545,Colusión,1,Penal,Pena Cumplida
137556,Lesiones,1,Penal,En cumplimiento
137611,Difamación,1,Penal,Pena Cumplida
137613,Familia / Alimentaria,1,Civil,Fundada
137620,Familia / Alimentaria,1,Civil,Fundada
137638,Peculado,1,Penal,Pena Cumplida
